country,year,milk_powder_prod_1000t
Albania,2014,0.0
Albania,2015,0.0
Albania,2016,0.0
Albania,2017,0.0
Albania,2018,0.0
Albania,2019,0.0
Albania,2020,0.0
Albania,2021,0.0
Albania,2022,0.0
Albania,2023,0.0
Albania,2024,0.0
Austria,2013,4.84
Austria,2014,10.25
Austria,2015,10.97
Austria,2016,12.16
Austria,2017,8.81
Austria,2018,
Austria,2019,
Austria,2020,
Austria,2021,
Austria,2022,8.57
Austria,2023,7.18
Austria,2024,6.6
Belgium,2013,165.48
Belgium,2014,200.12
Belgium,2015,205.76
Belgium,2016,208.15
Belgium,2017,227.02
Belgium,2018,248.66
Belgium,2019,244.6
Belgium,2020,251.01
Belgium,2021,218.32
Belgium,2022,247.97
Belgium,2023,240.9
Belgium,2024,216.3
Bulgaria,2013,0.0
Bulgaria,2014,0.0
Bulgaria,2015,
Bulgaria,2016,0.0
Bulgaria,2017,0.0
Bulgaria,2018,0.0
Bulgaria,2019,0.0
Bulgaria,2020,0.0
Bulgaria,2021,0.0
Bulgaria,2022,0.0
Bulgaria,2023,0.0
Bulgaria,2024,0.0
Switzerland,2013,89.9
Switzerland,2014,98.76
Switzerland,2015,95.52
Switzerland,2016,103.19
Switzerland,2017,101.02
Switzerland,2018,103.65
Switzerland,2019,94.6
Switzerland,2020,75.87
Switzerland,2021,83.63
Switzerland,2022,85.36
Switzerland,2023,96.67
Switzerland,2024,73.39
Cyprus,2013,0.0
Cyprus,2014,0.0
Cyprus,2015,0.0
Cyprus,2016,0.0
Cyprus,2017,0.0
Cyprus,2018,0.0
Cyprus,2019,0.0
Cyprus,2020,0.0
Cyprus,2021,0.0
Cyprus,2022,0.0
Cyprus,2023,0.0
Cyprus,2024,0.0
Czechia,2013,30.69
Czechia,2014,38.63
Czechia,2015,36.49
Czechia,2016,38.74
Czechia,2017,34.27
Czechia,2018,33.11
Czechia,2019,28.13
Czechia,2020,29.38
Czechia,2021,29.68
Czechia,2022,28.06
Czechia,2023,26.58
Czechia,2024,23.48
Germany,2013,530.93
Germany,2014,579.75
Germany,2015,675.73
Germany,2016,693.69
Germany,2017,708.0
Germany,2018,713.91
Germany,2019,707.61
Germany,2020,725.01
Germany,2021,666.39
Germany,2022,684.64
Germany,2023,676.78
Germany,2024,659.57
Denmark,2013,138.4
Denmark,2014,129.2
Denmark,2015,123.4
Denmark,2016,132.8
Denmark,2017,135.5
Denmark,2018,133.0
Denmark,2019,133.0
Denmark,2020,120.8
Denmark,2021,116.3
Denmark,2022,102.8
Denmark,2023,87.4
Denmark,2024,84.0
Estonia,2013,2.37
Estonia,2014,5.98
Estonia,2015,3.8
Estonia,2016,2.04
Estonia,2017,2.93
Estonia,2018,
Estonia,2019,10.37
Estonia,2020,
Estonia,2021,
Estonia,2022,6.66
Estonia,2023,
Estonia,2024,
Greece,2013,
Greece,2014,0.0
Greece,2015,0.0
Greece,2016,0.0
Greece,2017,0.0
Greece,2018,0.0
Greece,2019,0.0
Greece,2020,0.0
Greece,2021,0.0
Greece,2022,0.0
Greece,2023,0.0
Greece,2024,0.0
Spain,2013,24.1
Spain,2014,40.07
Spain,2015,47.82
Spain,2016,45.03
Spain,2017,42.06
Spain,2018,45.63
Spain,2019,44.89
Spain,2020,54.69
Spain,2021,54.19
Spain,2022,60.33
Spain,2023,61.65
Spain,2024,62.11
European Union - 27 countries (from 2020),2013,
European Union - 27 countries (from 2020),2014,
European Union - 27 countries (from 2020),2015,
European Union - 27 countries (from 2020),2016,
European Union - 27 countries (from 2020),2017,
European Union - 27 countries (from 2020),2018,2906.0
European Union - 27 countries (from 2020),2019,
European Union - 27 countries (from 2020),2020,3055.66
European Union - 27 countries (from 2020),2021,2890.69
European Union - 27 countries (from 2020),2022,
European Union - 27 countries (from 2020),2023,
European Union - 27 countries (from 2020),2024,
Finland,2013,
Finland,2014,
Finland,2015,
Finland,2016,
Finland,2017,
Finland,2018,
Finland,2019,
Finland,2020,
Finland,2021,
Finland,2022,
Finland,2023,
Finland,2024,
France,2013,406.91
France,2014,529.05
France,2015,531.98
France,2016,516.27
France,2017,504.57
France,2018,451.82
France,2019,470.06
France,2020,486.48
France,2021,466.84
France,2022,447.71
France,2023,433.69
France,2024,439.67
Croatia,2013,
Croatia,2014,
Croatia,2015,
Croatia,2016,
Croatia,2017,
Croatia,2018,
Croatia,2019,
Croatia,2020,
Croatia,2021,
Croatia,2022,
Croatia,2023,
Croatia,2024,
Hungary,2013,
Hungary,2014,
Hungary,2015,
Hungary,2016,
Hungary,2017,
Hungary,2018,
Hungary,2019,
Hungary,2020,
Hungary,2021,
Hungary,2022,
Hungary,2023,
Hungary,2024,
Ireland,2013,97.5
Ireland,2014,
Ireland,2015,
Ireland,2016,393.3
Ireland,2017,442.9
Ireland,2018,463.0
Ireland,2019,497.8
Ireland,2020,522.7
Ireland,2021,516.2
Ireland,2022,600.9
Ireland,2023,528.4
Ireland,2024,
Italy,2013,
Italy,2014,
Italy,2015,
Italy,2016,
Italy,2017,
Italy,2018,
Italy,2019,25.76
Italy,2020,
Italy,2021,
Italy,2022,34.88
Italy,2023,35.41
Italy,2024,35.57
Lithuania,2013,23.15
Lithuania,2014,33.11
Lithuania,2015,30.86
Lithuania,2016,36.22
Lithuania,2017,29.25
Lithuania,2018,29.8
Lithuania,2019,36.04
Lithuania,2020,33.99
Lithuania,2021,32.72
Lithuania,2022,35.68
Lithuania,2023,36.24
Lithuania,2024,35.29
Luxembourg,2013,0.0
Luxembourg,2014,0.0
Luxembourg,2015,0.0
Luxembourg,2016,0.0
Luxembourg,2017,0.0
Luxembourg,2018,0.0
Luxembourg,2019,0.0
Luxembourg,2020,0.0
Luxembourg,2021,0.0
Luxembourg,2022,0.0
Luxembourg,2023,0.0
Luxembourg,2024,0.0
Latvia,2013,
Latvia,2014,
Latvia,2015,
Latvia,2016,
Latvia,2017,
Latvia,2018,
Latvia,2019,
Latvia,2020,
Latvia,2021,
Latvia,2022,
Latvia,2023,
Latvia,2024,
Montenegro,2013,0.0
Montenegro,2014,0.0
Montenegro,2015,0.0
Montenegro,2016,0.0
Montenegro,2017,0.0
Montenegro,2018,0.0
Montenegro,2019,0.0
North Macedonia,2019,0.0
Malta,2013,
Malta,2014,
Malta,2015,0.0
Malta,2016,0.0
Malta,2017,0.0
Malta,2018,0.0
Malta,2019,0.0
Malta,2020,0.0
Malta,2021,0.0
Malta,2022,0.0
Malta,2023,0.0
Malta,2024,0.0
Netherlands,2013,297.47
Netherlands,2014,289.35
Netherlands,2015,337.0
Netherlands,2016,355.0
Netherlands,2017,420.0
Netherlands,2018,351.0
Netherlands,2019,357.92
Netherlands,2020,389.82
Netherlands,2021,360.22
Netherlands,2022,360.45
Netherlands,2023,344.69
Netherlands,2024,345.33
Norway,2014,9.8
Norway,2015,11.7
Norway,2016,11.0
Norway,2017,11.1
Norway,2018,11.2
Norway,2019,13.5
Norway,2020,11.0
Norway,2021,15.7
Norway,2022,15.9
Norway,2023,10.5
Norway,2024,10.2
Poland,2013,136.68
Poland,2014,188.31
Poland,2015,177.69
Poland,2016,180.28
Poland,2017,178.1
Poland,2018,196.0
Poland,2019,194.15
Poland,2020,201.35
Poland,2021,190.6
Poland,2022,188.83
Poland,2023,193.49
Poland,2024,194.7
Portugal,2013,14.64
Portugal,2014,19.83
Portugal,2015,27.5
Portugal,2016,27.49
Portugal,2017,
Portugal,2018,
Portugal,2019,32.22
Portugal,2020,34.05
Portugal,2021,
Portugal,2022,
Portugal,2023,
Portugal,2024,37.95
Romania,2013,2.2
Romania,2014,3.97
Romania,2015,2.51
Romania,2016,2.11
Romania,2017,2.45
Romania,2018,2.32
Romania,2019,1.55
Romania,2020,1.38
Romania,2021,2.24
Romania,2022,2.46
Romania,2023,2.15
Romania,2024,
Serbia,2014,4.38
Serbia,2015,3.67
Serbia,2016,2.98
Serbia,2017,1.9
Serbia,2018,2.64
Serbia,2020,2.38
Serbia,2021,2.24
Serbia,2022,1.04
Serbia,2023,1.78
Serbia,2024,2.46
Sweden,2013,80.04
Sweden,2014,94.03
Sweden,2015,88.55
Sweden,2016,82.39
Sweden,2017,86.63
Sweden,2018,86.36
Sweden,2019,79.57
Sweden,2020,67.98
Sweden,2021,68.21
Sweden,2022,68.71
Sweden,2023,67.86
Sweden,2024,67.04
Slovenia,2013,
Slovenia,2014,
Slovenia,2015,
Slovenia,2016,
Slovenia,2017,
Slovenia,2018,
Slovenia,2019,
Slovenia,2020,
Slovenia,2021,
Slovenia,2022,
Slovenia,2023,
Slovenia,2024,
Slovakia,2013,5.12
Slovakia,2014,6.0
Slovakia,2015,4.93
Slovakia,2016,3.63
Slovakia,2017,3.24
Slovakia,2018,
Slovakia,2019,
Slovakia,2020,
Slovakia,2021,
Slovakia,2022,
Slovakia,2023,
Slovakia,2024,
Türkiye,2013,0.0
Türkiye,2014,128.9
Türkiye,2015,112.1
Türkiye,2016,124.2
Türkiye,2017,131.72
Türkiye,2018,109.4
Türkiye,2019,98.9
Türkiye,2020,105.0
Türkiye,2021,126.5
Türkiye,2022,127.16
Türkiye,2023,112.92
Türkiye,2024,120.22
United Kingdom,2013,117.77
United Kingdom,2014,174.32
United Kingdom,2015,174.37
United Kingdom,2016,
United Kingdom,2017,
United Kingdom,2018,96.49
United Kingdom,2019,112.99
